session#,TimeInSession,RT
1,433.94476268804317,532.1157295945795
2,213.1733680212683,543.7276920290515
2,271.19985468534037,595.6628500271108
2,534.4384723158998,547.6316582494292
3,212.78196437247448,503.75560150996535
3,382.714858496264,502.2985883515503
5,348.3975301793398,586.5141016174675
5,381.835969164983,572.4005780657535
5,486.26123139124866,608.8663726750383
6,236.88128183625304,566.592406476957
6,250.64823188839273,511.0334133642027
7,308.8034532229458,598.3981263052556
9,236.36927573933735,508.50247993275843
10,251.01513029730722,598.2138167300945
10,404.9388432420701,662.1874071297498
11,145.7979251045217,521.5648876292107
11,528.1244195360887,541.7253399773472
12,317.6673286608084,605.0480749981944
13,445.1134008145091,512.7189252289099
14,360.4354575195848,604.1357898320712
14,505.0084559397128,537.9037380298541
15,167.95361343164404,551.5246246814058
15,268.4841075415279,515.2381441057514
15,531.9832743581246,642.6931181904365
16,412.2724205386312,507.08149817546655
16,424.5086546299608,508.8963493035408
17,409.23836326677883,740.3242049167602
19,438.20337011645825,517.41611262878
20,254.15865884748928,598.1886820027285
21,443.1384269249156,519.0220580025198
23,534.7512701170417,570.4198757157428
24,421.37227472055747,616.4614175813767
25,355.0196573175126,552.0045709890837
26,239.96586342060255,531.2920985088567
26,541.3261462724695,501.26467200243496
29,253.3131145853913,598.5015368205495
31,152.4775583754199,500.52809581757174
31,572.9264787745051,625.0222780399781
32,599.1285556700095,508.65035368769895
33,69.1128119519417,502.8272782692511
33,419.8613738127133,529.6300849840918
33,571.1123369704183,567.2895434654492
34,226.75533436032129,632.6425256411312
34,267.8133088346767,522.3854647883854
34,286.6204500891399,545.8495881430281
34,396.6939034869538,693.2478603666823
34,443.9531255985021,637.3218669832568
34,454.25914658867987,508.34542966185836
34,557.6874126101429,641.9100973544118
35,297.141404245318,522.5049339242105
36,137.4101985427078,515.8223082726181
36,292.2848875387972,500.36575905323843
36,503.204773204252,633.5982531563786
37,315.93105293439294,501.29794556778506
37,454.72364409271177,604.2513351858361
38,332.85395503005566,531.1678384168772
0,162.46244369867227,512.6174028974617
0,523.6515106311779,629.8045047468577
1,131.8936358668401,501.3169094816021
1,309.61347997041935,553.0831091671189
1,549.2789392081445,510.2818640732494
2,290.7519488814487,523.8593608703468
5,356.8438042809098,633.9377691447226
6,137.92976373742385,587.0151297440316
9,544.4962655189638,666.4176102485726
10,383.8168799216992,529.4165777440867
10,478.26686270108803,591.5087333933116
10,525.6420614278468,506.30755916790804
10,574.9876290022003,514.2295919595199
11,107.99345959364109,500.59658692953235
12,254.32756808251634,542.5678149149462
13,261.93196784238717,552.2439547603426
14,222.0814077628329,518.1457539310941
15,433.9844717371125,540.7467319819261
17,428.5537172991735,536.9559301234403
17,577.4497871517797,501.24609818522003
19,202.5910824502298,619.7035958321067
20,124.44004533944462,556.7431617437251
21,491.00451468348365,642.675571509244
21,577.1506932632838,581.843306981682
23,476.06823300793803,710.4405233367288
24,582.6206058323805,530.9730021472205
26,320.4572251078898,502.8448793418647
26,415.1544288946825,594.9441301600018
29,371.6339650015325,539.6033069991972
29,498.74848883012965,521.3274587986234
29,555.5152758145596,547.0271097547084
30,124.57285437263636,534.0151774980768
30,381.5542051227312,599.2984883814643
30,489.5446374895764,508.8254744114238
31,481.62882227149385,500.70165934448596
36,561.0877105466243,519.6672894198855
37,377.61479906622844,516.0879403993022
37,414.52175192333016,577.0794240233954
38,251.4469692271632,524.8118272538704
38,528.7899663605131,525.6022660687449
0,194.16725416485966,510.21628989775536
0,458.70149074501086,535.538030044961
1,283.9276749958299,525.5636588628931
1,453.75462910310307,510.2178828421984
2,107.97799505917033,705.4020297944135
2,445.52949989504987,541.7479821471716
2,596.638068386002,552.467400950718
3,490.08273219149737,509.408778555553
4,533.477574163614,535.8671030880942
6,64.27005059488056,500.75199673165116
6,91.6748493430241,518.079238151131
6,278.42944376338346,523.010162582068
6,355.6327509745888,509.94928864929534
6,411.80715197417885,525.2260212846522
8,228.7837653246106,531.3162540305711
8,441.56183841550137,502.3379949416267
8,506.11142740647847,519.7255004432009
8,564.2716848223808,605.7459364401439
9,316.42615616630974,564.9085236791507
9,524.4578195519598,541.2148685154534
10,230.940638274079,513.9886141041643
10,456.05431651180425,539.7098915236711
10,494.2559566631144,517.368027511111
10,499.659535757889,607.6138688149513
11,492.3795570112279,646.2560122135983
14,341.3523225291956,546.6772403233335
15,533.6721398573463,620.7506566388474
15,575.3565583712152,528.2826715156261
17,199.2244140396342,594.0345141589205
17,210.6677237691656,509.8404334985389
17,503.82189214920436,567.7162635147397
18,300.7613973622101,569.3552566881408
20,391.0811736106207,565.3125275639468
20,569.5580334950591,508.839179894494
21,229.0421088382318,531.0987807115453
24,480.7945029887087,564.1610673483228
25,275.85660679507055,542.142621405219
25,337.7400333960395,564.6535246705753
26,597.1237841252114,580.671613013692
27,358.8030270081945,516.1444283257879
27,418.79537885302125,560.3616045846138
27,570.1761997518661,528.9955655680387
29,84.0609306669503,505.47834642929956
29,418.008085995436,520.3831208709744
29,516.4349448863431,502.31020127466763
30,287.01084324117255,502.00045929523185
31,414.43267180011753,636.2571741265128
31,542.3336816550254,570.0017355920863
32,329.53134161100024,510.1853874948574
32,594.4014705911723,536.1571239882323
34,394.41869854294055,503.10015314244083
36,395.60877740939395,530.8324487232312
37,430.76380905768747,517.4762221467972
37,530.945091959813,577.4900615724619
38,244.96824136537907,531.436545366887
38,265.8197731766377,506.3755842820683
38,445.10588713530524,522.0103397296043
39,45.643625454060384,542.6855864789104
0,455.02971342689756,605.1565097573643
2,424.534753082148,549.9064703321892
4,308.95122822226267,553.04890682919
5,369.51245605575923,517.4376384293282
7,146.58483777688707,536.4662432684781
7,523.3326054945946,509.44906170207105
9,429.4047272300413,537.0295460324996
9,555.1281108875628,621.6768523754581
10,471.53649214636243,544.6257504818277
14,422.4712659635243,571.9708637552685
16,550.6640706713733,515.8586426878173
17,297.9442370224024,615.6316509805038
18,157.3736259278976,505.3187906178209
18,272.45546090679636,522.7591642615153
19,288.54561392324285,513.0527499077289
21,54.5031891570743,505.04923342850816
22,262.6426579085437,613.1213242515514
22,514.6521651363037,526.7051659247954
23,534.6894795011067,632.1758463545848
25,257.6090814793861,533.3874397838372
26,255.2728498670367,579.6049158452661
26,510.2293728729528,515.9286514171981
31,327.70575127873235,579.9078408490459
32,560.595633158704,553.7476829304069
33,414.8664414943014,522.9361541823891
35,307.28612913233155,549.7514178459824
35,580.4376913327724,562.9237939574523
36,408.0450745423441,554.1391963670321
36,578.5404418889811,553.2257463601127
37,107.11420549531249,518.2246307194873
38,217.2030978066141,587.4594230444927
39,346.4627586701863,525.868557546346
39,450.42961725790155,504.44804815924726
39,559.4885822801516,535.8624149812385
0,43.522482461829355,508.3947031654006
1,387.3307903306069,593.3787240992388
1,435.99508714099727,539.4857337300891
1,515.7414494771161,595.8276533758635
