session#,TimeInSession,RT
0,427.12190710841423,567.4843037979258
0,521.5532992552654,507.26514089444663
1,532.5820886044563,608.362301743
2,443.45792245382154,542.9457218920106
3,490.53979872777654,657.405489071607
3,557.0800237679023,525.5253746586277
4,513.7185765833392,511.01612261527407
5,275.3614522143657,530.18335804245
5,289.8744615329192,582.2860408611632
6,52.01759470390516,522.0495192552335
6,348.2554454085407,549.2601045089032
7,393.88970200443146,543.4378238187492
8,93.10202685453805,502.49864607667405
8,467.91032258258565,505.51377280680754
9,117.9053084937168,500.96067997310456
9,192.61400382161173,576.1663719868011
9,435.10974737070956,570.3293226442838
9,476.48683882129353,506.8641588131868
10,408.3530085756129,516.3010161240891
11,120.96008752448779,573.9120530779473
11,306.82440095656875,552.3590425736984
11,360.37753753122615,512.1783342747221
11,454.52239376710804,579.6492861154547
12,122.97600398243776,522.5418123955023
12,539.1727748017447,522.4948971499543
12,563.8663119845723,528.3215465351532
12,571.8211946640686,511.0915610803204
14,211.62449371008188,503.08165890237433
15,328.4130397805293,614.6852497386135
15,515.5877303762336,722.2545358308707
15,594.8386353285077,502.8451776724978
16,64.04423337683147,507.23196830767847
17,441.56480661713977,517.5071109424607
18,409.85610157685915,550.7667292149563
20,167.49884253213168,670.9902450947993
23,410.4627281991725,529.299135931069
25,440.33817327851284,551.6062796996266
27,154.5370192058872,502.93312043868355
29,47.63781281864067,502.96392396558076
29,436.07143438160347,521.4590813302493
30,548.5209984681314,547.1973713647458
32,404.12313644091046,527.5668843751191
32,514.5520121129775,502.9556950648839
34,77.36305037172133,553.365335064882
35,418.78689809349817,635.7947042379237
37,79.74188183929436,579.9236415368796
37,507.77307570829726,511.1692740319995
38,413.3600256343052,502.5354401404911
39,276.466617419821,538.7872024075477
39,540.5186216326729,503.51764385413844
0,330.1102212795803,508.73175415244987
1,320.07278559612575,515.4882931088878
2,599.9851210328563,553.4296137777801
3,112.72431427672586,528.8376266826162
3,391.5838993351315,543.2998025667075
4,248.67184245937324,582.5781295370689
4,292.6793617182316,506.8615058908108
8,243.10570725989965,531.4151885668252
8,369.96573636335415,525.1173807937448
8,589.7829808044517,522.2350855046898
9,393.3399971049648,588.1530788319651
10,512.7322992073896,528.4756571118123
10,544.4206042620417,522.5427210943963
11,416.8446325716541,517.7400964366825
11,497.0730314356915,713.2402838788039
11,514.4351074309616,537.6390826932038
12,336.5808817052748,511.20538628492795
12,454.2643667601169,530.3739369774121
13,169.22177715609723,541.1593673507014
16,496.6995887231169,509.5872838028299
17,146.59282561369582,552.9395536159427
17,324.56119931126705,557.4757349550055
17,532.0866649435793,504.0906829726737
19,136.43968800549192,564.8488163751608
19,431.19007645930105,632.0547576506215
20,255.13374523367202,538.3729715285881
20,336.0223264641372,524.9522173162404
21,485.1046829282641,573.7671258248156
23,462.26703668193113,679.7029568951984
26,39.19207200048186,527.5015557963343
27,321.4697573457015,501.8525007944845
27,591.3984781580439,603.5634153231513
28,189.89315658746636,530.4562938181334
28,420.2292008642762,546.9499149912735
31,210.0962813392216,547.7310220339859
31,537.3368742791718,566.302435399848
31,553.574907929964,521.7685465104296
34,561.5172529881747,532.0296214886184
35,292.35841359596816,507.08593344461406
35,384.87902069908887,554.9120343857794
38,202.50312051796573,504.53465011014487
38,447.705606149495,564.9790450770524
1,156.81693267001617,561.7920548061193
1,571.5912462577653,546.0337546387564
1,576.608059511316,539.5550740772705
2,420.19957918517025,528.671412381982
6,411.36944563403404,649.0437585434847
6,472.51484901727736,529.8804655194544
6,544.8291172229024,544.1728742325722
7,181.63753927094058,500.4886278529739
8,171.7701024152575,503.67995442047686
8,577.1850731475197,518.9008088482296
10,389.0079790119207,502.8710195565509
11,195.03301721242497,596.7099159670397
13,207.8413510508817,511.0371332302748
13,449.1838792417693,516.7131244506891
13,558.4762864308432,578.321679833607
14,330.79897370859726,502.9728249392065
14,516.922490688954,565.0986132532125
15,456.41384175913845,513.8275390818308
15,513.8016369026063,507.4443662779231
15,578.8583764142368,540.4320000379812
16,338.72918022066006,544.9808240500715
17,560.8349987485308,528.7280676911905
19,321.1082910477853,546.045172117374
19,333.24810707122015,501.6265402537101
21,367.03924763135547,502.9807200880896
21,493.3203809216284,513.003678413952
22,154.90821373894323,583.7328181751218
22,501.0166620258369,514.4606825906521
22,590.8143148702839,600.080991815048
24,185.73898804720375,528.1017740526295
24,266.593927208738,633.2408944381314
24,571.7374991154775,610.0331774141523
25,270.62843555647123,501.60244125072495
26,500.3897190551543,514.4024744295166
27,9.810713091555954,511.6723570936301
29,527.8914688253935,622.2076139893034
29,588.0759378412768,564.370381016488
31,173.03572088396322,543.9048274565721
31,465.6342713040649,517.0265730776009
32,366.8124430655953,605.8425458577403
33,177.8511591051938,534.6992094855523
34,32.50230154176097,557.6232785642787
34,133.99003573120353,632.0691660475859
35,592.611934828903,558.2410285969672
36,495.2527048642114,627.4066790101642
38,429.85115409150967,525.7885030550824
0,161.01507891177346,503.13272160011024
1,283.4473079696023,560.2047878178382
1,446.62363028246375,632.7033622330873
1,582.5946117617917,508.82591918207254
2,157.76142125615593,595.2117730564623
2,239.30609654369255,510.7051209652127
2,243.84883991515358,530.8075734130853
2,335.82076877492614,505.6836757091787
2,353.530502557908,567.4703894364939
2,391.8353667590093,958.4780703326032
2,414.0321543197149,511.647637428041
3,461.7946240167987,502.92853156497586
3,524.6503419752382,520.2620518120966
4,54.741703090867304,539.0866435177486
5,41.103609858296295,533.9490009646397
5,449.9166202818187,502.08048762397084
6,368.09264611385515,535.7032145166158
6,589.0902383833154,522.063592901759
7,234.0181538895422,566.3817795575596
7,244.73948533939983,604.7700552762763
7,281.1330466451873,596.2951962474108
7,314.22529593324725,523.0272979142683
8,486.0959309963564,593.7417217564871
10,403.96359710117576,512.2749554066104
11,128.58786349657748,555.6575249629532
11,192.54671921436238,528.0284932450741
12,508.00426443048764,522.9588285710633
13,331.1958200066256,538.6100559862825
13,441.51707082355097,536.8392631371535
14,369.6529669603242,537.6636104047066
15,532.4015451622072,717.6877713663998
16,207.70121752766863,559.6115328426094
16,256.2761641236848,613.7113557433622
17,482.94535347734745,503.82813521537173
18,147.51857065000513,538.9880598377204
18,163.29854952903588,554.3303149934218
19,143.34626568181193,588.8816405895341
19,350.80424612292154,545.6054061414761
21,491.627325859974,534.6800723855267
22,432.1982576588689,587.5349418820406
22,451.8859873457659,513.7814449353755
22,560.0342429672692,573.9586900836002
23,285.75190583043695,501.10844074515626
23,599.8957890488036,515.5194081526133
24,342.9503347707414,530.1046683453023
27,310.5267350635295,508.88708520506043
27,320.5048391470664,508.6660507840861
27,531.8436592685794,542.4295774755592
29,509.00923891557613,652.2404516836104
30,197.79844140407295,515.3572677518241
30,486.7748596381607,578.7168685892539
31,74.53508876483829,507.43435676486115
32,111.41327842981627,536.6817099602486
32,539.3514892138955,535.1521063494147
34,403.0804354695065,518.3259759396606
34,544.154181834725,507.83537059032824
35,409.4074232477906,531.057910360687
35,489.0136549745439,610.2433504202054
35,561.3802873396489,550.7731921243249
36,353.61520704417126,515.0943062071747
37,499.1793291169779,530.8540740770695
39,518.1354922302344,579.0227201941889
0,590.3214887786909,522.66212565155
1,430.9798480098973,516.6556149454209
1,525.1505624913905,577.0563919384131
3,474.9152662999518,532.978394174279
3,504.0633694361072,537.7892192987019
4,142.26461902440087,526.6579530225499
4,569.3658150590518,575.4539582171674
5,432.0349823824263,657.3740899370932
5,469.46578791876937,507.9559461869394
6,421.5218117089453,673.2341126789834
8,85.19834437160989,525.5203748292843
8,221.7906702076698,514.2864888366603
8,296.19561180613255,611.4958996422502
8,486.1149973156671,548.1097450601737
9,151.26225393105778,534.0099773111433
9,212.7208935935014,509.9314412154854
9,586.6592885818045,571.9924783688839
10,562.6944103895894,514.1966596429484
11,22.097424554639474,545.2923832372107
14,455.3806265559142,548.716169425461
15,310.5437090406831,521.6930049427901
17,107.1706288237292,505.8008117812278
18,193.26767320809995,503.9924411212269
18,460.91806835765965,606.4699273429142
19,312.6844584064638,569.2396838785498
21,245.67617316168798,658.330748177832
22,339.244667901261,627.9898310986027
22,503.59802331387436,536.5639525898587
23,478.5444600963692,523.1773756113398
25,546.3585032761075,563.7316345055297
29,350.63233977876735,523.4068943791499
30,275.236301826455,513.1518190682982
32,413.70339520366906,507.8980494545249
32,540.9976966077338,520.252533871826
33,453.317969762531,514.1319799004123
34,430.18657602162057,510.5625443284225
34,469.26275252026244,511.72559228143655
34,592.2963312178908,550.5901213400648
35,497.61412613032735,518.440080970322
37,267.2658113142279,510.8347346795199
39,336.85040414164905,510.1930832825019
1,467.6494633506511,592.8602526848863
2,216.04025117411447,745.1891604100638
3,122.52313683934494,504.2882319498858
3,406.4258483306419,608.3434571696671
4,469.8377734572414,502.9059934813631
4,589.9076951479879,675.4793100922143
6,197.3206134726588,519.3957245992351
6,522.1717038453926,505.20461596624955
6,573.2350122816633,594.8985703380458
8,200.33122565866415,510.01440471463866
8,316.7469694755646,547.9724330616591
8,491.85003929967297,505.5752045227564
9,363.2589127287665,538.8960231211968
9,424.10162090252743,534.7935286963548
9,430.7936408074929,500.38797442175564
9,516.0501564315382,527.0439739697395
10,250.4454394032973,570.9082991670584
10,489.6079560526441,649.3748105403938
11,243.78011009246075,661.7871073349306
11,254.30746990020816,546.7628954293104
11,542.6879342977418,554.3941302776147
12,433.2984327641352,522.3681061324896
13,268.7706826617559,528.5580086729169
13,597.6319240111843,599.7509038352291
14,126.41754255096203,601.6147946556885
15,196.40557025874296,501.89006756045274
15,262.5199683979954,535.7812753591134
16,431.9364467416781,520.9658313215186
18,55.460248069917725,542.6406197784672
18,473.8070235408686,543.9485154383874
18,569.2185986632194,523.2958678698196
19,85.48017714460912,541.7426577332662
19,152.74215116893902,542.013574480734
19,170.49474373695193,500.45133277308196
19,268.51497777712757,592.3582594514301
22,197.7607058228532,536.3984804735082
24,293.98276513687233,586.3702326550992
25,488.4501410537887,521.3402819681505
27,291.9061580676389,529.7117595873715
27,298.257752559457,511.06690115193487
27,491.542558225643,560.2533842793491
29,194.7240275374461,555.9187774269958
29,486.44120037887114,605.3494855768804
30,158.5586636232474,626.3037638527749
