session#,TimeInSession,RT
0,441.07605473250874,525.6704934117238
0,524.0757165864349,679.3996797131285
1,394.97586403551554,541.9697473632823
2,316.67483974826655,558.7816211393601
3,278.7859029367205,609.9561239620925
3,599.4554099375055,531.3308306149338
4,549.1060268810552,524.0482490130489
6,347.33257081075817,563.2203644408946
7,179.16033349085956,512.0962058745135
7,283.07443107115523,529.4474238180555
7,484.07501977153606,504.80966670875205
7,519.9053898383554,620.5853274095716
8,185.2807863690159,524.6517357018092
10,462.8226954531374,670.8163969506131
10,525.1690059424509,510.4044888548742
11,179.6473203877058,648.5405556959449
11,256.66775102811425,574.7316210199642
11,533.5592089759366,535.843124760504
14,440.7744204890041,503.6086227501073
15,25.14795981744828,508.56249949174526
15,160.6141822877271,549.6528390758613
15,374.1585515995648,504.887607996352
15,497.50881024604314,532.8958229911223
16,467.0883657797567,504.6909762386349
18,180.1527701399973,629.9194187831745
18,561.0622737761623,546.6923099647829
19,92.21841714755101,500.0890309765964
19,463.02643502425235,521.3510164685431
19,551.2611636679758,524.8002132084366
19,567.6572420080447,610.4352467136778
22,124.74591219638387,559.342313768866
22,150.74569406663068,621.9938200592878
22,292.13917980533006,555.7280698703835
24,425.6442652346541,519.9112432565016
25,520.8989284961972,574.2850506721879
26,20.446846469687443,515.7723328775319
26,284.2793658833725,537.3126323211181
27,64.00885075444967,545.0696941225033
27,118.37232953519197,500.49640182987787
27,240.53100546760106,697.8933792306634
27,510.1461430930867,561.2310147880635
29,439.211519687964,517.2649460619141
30,12.34887637715292,502.34647269462585
30,422.5547373394402,504.6957002959971
30,516.0435712985709,522.722031284502
31,95.03172194663057,542.7164884968079
32,338.7588539234275,543.2810031452391
32,540.2042328228417,507.41381303669186
33,563.0751295405389,692.0097625843482
34,228.25833814869475,609.3255395862798
35,374.3418697726338,517.9788120294688
36,85.51153965790581,500.02933459109045
38,284.73464718951436,508.3423341093294
39,580.8325380390233,583.6305607335817
1,262.29330329308505,522.1812749671244
1,365.9686508910595,561.5430030543394
