session#,TimeInSession,RT
0,242.77617505239343,559.6967369238541
0,322.8464388188199,533.3428280579255
1,146.24967318700772,510.27670737209974
1,255.01737348008055,625.4262007245188
1,366.6178016350243,533.2372288005445
3,272.4963543455085,539.7584895645196
3,309.49394688681355,652.3625818463188
3,363.3433200476527,698.536805101412
3,541.9218629372378,522.0655308103233
5,367.24649534820037,512.9779766161846
7,53.872394743277255,523.2029565549965
7,495.09524600579516,620.4275062509623
8,132.17101675503727,718.5656429746814
8,223.00887172714192,626.1506523987919
10,262.5011305238495,536.1521190025087
10,467.04967652589494,526.3003596983253
11,271.60771550183745,536.3857227248445
11,497.6978215580575,615.8199738702024
11,504.51588836868723,545.1697406151652
12,542.9780397144114,555.5111708326876
13,282.8158092591584,562.6332576030109
14,333.86722277665467,542.9763935935625
15,73.27034578143866,576.3716145011131
15,406.6134897927295,551.5375787490484
15,528.3341561697398,572.1466330069234
16,282.9880387797275,509.92930997927033
17,389.4524726711952,516.999325776851
18,98.92496093553927,522.7881934933976
18,156.60183912200955,506.3791962529649
18,387.3532916958011,517.5735492503009
19,436.8531256127735,619.1009946269332
20,425.7798902070572,609.0395436403924
21,294.06844085822377,507.14269455238536
21,571.1308372898347,513.3212308246584
22,228.14215297643204,500.45109032362234
22,367.79921250586267,563.5161361969949
23,239.32474648143761,592.6290572861035
23,302.56069916168417,699.4984597058647
23,423.5423028089681,556.086716856953
23,441.262046901973,513.4962219126464
23,483.68924183293893,573.6325740454049
24,594.5050807643511,507.5215020588075
25,394.70016259377735,600.9680798015324
27,166.32773700921098,535.3642348090943
27,194.17690296886212,553.218966921122
28,183.48114744770646,537.6338706591923
28,267.85250004596674,512.045543804561
28,372.12111008472493,570.5702159430075
28,459.386215927967,524.4856680910743
30,533.234436161627,506.15160561937955
30,586.1653993104628,662.48808347882
31,537.0470520298841,566.8264581654512
33,54.356336408534844,604.1795299606747
33,529.8742301943457,599.3823809694732
34,210.24687434314546,561.048194362229
35,343.12014872780856,621.3017715781461
35,403.7613157992382,506.72549940281897
35,523.0569157744358,533.8830800501455
36,521.0501235280062,568.6600073713635
37,85.53875592960321,502.9692816460738
39,405.7239944366702,500.03828948683804
0,451.26386379176506,533.941027399294
2,451.73954187637605,514.0976101927208
2,554.9564653948714,697.9890856462134
3,48.04954175367652,540.8970039968608
4,576.9221569689562,631.573031017524
5,473.50326564043417,624.7617577191704
5,504.0178715555603,523.1368645872863
6,339.1249563098727,540.1824840992049
7,495.59044129375707,605.6640447468453
9,242.36298992490174,548.2251914218068
9,527.7052941378706,652.2988211509073
10,315.00837007003884,530.080206571256
10,495.24141499481175,762.0481686981293
12,125.1864788003777,506.05583762899187
12,308.48512914292587,514.8757266015309
14,82.36271334921548,521.3668210326432
15,152.6199575646133,571.4799025117827
16,402.5382308389635,510.01664122304646
17,181.43252438682612,541.3026498717954
17,494.56883489835855,504.9358064952685
18,125.06236543220439,661.2029719417478
18,414.50575892264897,520.9301032646181
19,172.9586001336902,577.8317147578491
20,139.0246363274946,518.3744905643834
21,369.9307747186176,520.4174317332217
21,400.1581502805966,506.88396803525393
21,538.0307928426955,621.6159308623901
22,189.9134762891481,583.9163534838008
22,479.5254100266484,503.89446320332354
23,69.76580788847423,539.8613727102202
23,335.68530109537824,551.3903817718528
23,557.348817353266,534.6409245739778
24,279.0530731130384,574.810879823417
25,153.29077957744812,507.3755360899668
25,244.7629896964936,515.8495492069051
25,369.5266212806091,551.1240866035223
25,579.8498315641627,524.5162765713758
26,139.26053841376415,546.8414550050511
26,555.3814059352262,564.8969479552761
27,61.311811628482246,559.1415204071382
27,541.2744017738551,633.3947205093864
29,464.4797395657697,565.7726869212638
29,523.3412820875783,551.6759402526077
30,493.77758558221103,508.58075413270853
31,58.45164993140861,504.38977381782024
31,154.8626282991172,534.1901718347799
31,201.75850659952994,556.0796293284511
31,439.21258605386174,672.4985152904992
31,544.8285387684737,505.69053340586834
31,553.6879339399275,533.1568077672273
33,387.8121000808642,678.8121963763842
35,170.54627844749848,549.591720198805
35,295.00356403539627,649.4583676976617
35,502.47785903791737,577.961036527995
37,80.10851975713013,627.5916742415575
37,431.6720604841612,538.6570500086236
39,439.98619137384594,593.3380925744132
0,273.4796080110402,550.1001639479455
2,124.547882117987,513.4691056020984
2,384.04794405789426,629.1654006338376
3,282.605714382059,550.0876468422575
3,315.87283075467985,530.0918620914672
3,564.8101246249671,524.8809511995205
4,310.3397723387534,500.32530210592085
4,367.0944962681183,509.75388479810135
4,376.57618304218704,571.2055462563512
6,104.44544648050078,500.72870639314715
6,565.1607394894659,742.5883667119706
7,338.41896899009043,552.7327608397172
7,579.4133179804903,512.6795354917704
8,210.2625618115144,504.1782175849221
8,597.2891814624736,539.4071905366218
9,322.3081814927027,514.122399336884
11,200.68122783286617,560.6135235038892
11,358.30410569911146,557.0572361575614
11,416.36280141333646,526.1484758057122
11,573.852659530121,525.8070457548456
12,457.68385020194,523.9417781322118
13,450.77480637807093,561.853612492996
13,489.952331582168,517.0068398274452
13,594.6079728485001,562.3891726208967
14,337.15874553233516,574.4852612660907
14,342.0084844044213,542.5661854078498
15,163.98392534570303,502.3139074619394
15,415.56142936830656,611.5785046677047
15,501.67087214566345,514.4747009271669
16,504.97430321464344,538.6583605086344
18,430.0380000454279,500.8093657907011
20,429.3939688922055,615.0390621332917
20,501.07922708346086,505.462041208375
21,567.7018381186626,686.3649757560779
22,160.64829282441133,513.2136786323827
22,250.97258425764994,516.0217442244175
22,407.32535458251914,593.8050082331756
23,387.1144359074988,588.1999474331678
23,553.330450382482,642.9137252107466
27,93.02400053160454,557.4965289888496
27,106.58409006004513,563.2933136403153
27,384.050856847407,648.1844459740387
27,554.6565008976322,573.5460497999156
28,353.7280408810984,504.75594491217635
29,358.78004845026953,601.158427336486
29,448.0660237049342,529.220165895822
31,386.56072936866985,513.1685377491522
31,427.0432535186301,565.7596934033791
31,459.6054856094197,592.5112601798901
31,492.0620152461088,757.6333208962751
32,312.28459010786537,509.4869097119954
32,513.1819738279628,509.9569786034408
32,541.4496982740238,589.2591704869119
32,595.6871652314803,545.3224556731584
33,359.93864670383846,512.9442312172614
33,368.55220728605127,564.4279723310319
34,125.31102446780278,513.6205148737645
34,145.54683298611053,523.3013205579482
34,432.03711194753487,611.1635095003294
35,245.80140330668655,519.5911521768721
38,464.8857242981612,524.718902339373
39,213.63140004592424,817.0668707825826
39,296.059718185119,531.020215144963
39,415.8249652161794,509.6629048239265
0,401.49247980960126,502.08683488318684
0,467.76159705512043,523.4360968024703
1,35.35532165999757,523.9948337792839
1,364.80908163785637,635.4090136053401
1,483.97853848679154,524.3833068029744
2,342.9972190415883,514.1665899061536
3,29.280229978304078,533.9329537303001
3,263.60665303986707,631.2533106456613
5,538.7879586223526,595.6034509599704
6,484.8764874555304,539.6452806935486
7,536.7455577645815,589.7450396887507
9,268.6263725789322,510.4110454867623
9,296.48610998081494,567.6244346750536
10,513.9243053612736,500.62569242800237
11,307.587541543151,560.4966471037187
11,448.95333855922763,581.5302891041938
13,111.70467128661039,510.54351326456526
13,527.4256116728993,509.39674647270294
14,209.55903491666322,527.2965293079324
14,589.3330449153946,567.6874299351766
15,77.69564910174086,549.3367048693472
15,571.2073135762002,614.0830776766961
17,263.4487427961885,502.74543222258217
17,490.0668606077543,617.0661227879464
18,159.96575395874243,579.901245811925
18,349.6706657525883,529.8086230159242
18,441.85123659022247,502.9676896156161
19,433.5457350200213,548.905782698057
19,472.37499998533895,505.4468017169711
19,595.1493113159395,575.4222676750942
20,344.0762736417728,528.8564782185858
21,80.55641473019205,541.0251961329777
21,305.3734221548002,509.22340105353214
21,363.2381675792785,511.9952983350231
22,82.52449448414518,556.5205877810513
22,166.19182087423724,501.83832084985625
22,484.70944862173565,537.3847717801254
22,531.237929666524,693.21293786561
23,297.13191169516176,567.2313753329945
24,392.41611535395896,622.7887889072008
26,298.1492183014525,514.0493084982154
26,414.2784406958235,520.1199196599191
27,393.8694052774008,537.624494812917
27,528.3538128611217,595.2950215469173
30,496.5630360132527,644.9823560724326
30,538.2649926138911,537.2873461528798
31,304.3513682653538,520.9247540442448
32,566.9408315951223,536.4116626915347
33,585.0907683532059,619.3431210704148
34,31.404968353574077,515.5433267900662
35,87.4990678895083,554.2449666099856
35,598.738999515499,566.7062641114171
36,348.5129860762099,502.7989315422019
37,275.24975169287063,513.814607187669
39,511.6244640158984,535.1353532714711
0,438.70377520012414,571.5233761810623
0,468.6780562998412,591.7287886269946
1,43.71667971293277,566.165489263085
1,296.55054419193027,502.55226238482464
3,167.6246745962785,501.3322350632734
3,361.3236223940539,506.94207529477353
3,481.19325512500745,517.46780237454
3,536.3162589191143,521.6098518699255
4,429.0076759216072,594.0324242787938
6,499.19571522794877,607.4030627405591
6,563.4454041016083,544.203802210177
7,530.4313153349167,564.7385405609384
8,385.7291163486425,524.9884809672949
9,395.0898537380099,548.6450585176499
9,500.8523340036145,602.5760422007806
10,558.0380205104093,502.05620802080375
11,319.94635972725973,523.4302500493868
11,552.0232640289714,556.4286349936083
14,95.72225020627411,617.3180790756305
15,209.5208286101315,597.9942547310202
15,292.56849640254404,545.2666039418546
15,592.4397364944307,550.9495829337538
16,406.7338378556342,574.8907068318658
16,420.6508735388561,620.8643365644093
18,81.6000758648679,580.0811950903153
18,128.73812505983187,598.2369424218632
19,418.9750396275649,531.2975693686894
19,444.2667293117811,593.7118240690324
19,520.2771898332339,582.1830013483122
19,526.2266554558773,602.6041079185234
20,565.4770126093554,509.9158739994891
22,294.4627354966906,507.4513622766972
22,381.96067571686217,614.922289891183
23,289.63427422031236,510.6437639497017
23,396.9046731118051,536.2915061887179
23,474.52340903460754,547.9900597747474
24,299.34702732399273,547.4460409022868
25,544.4061004753785,596.5146432827169
27,540.0356456051013,501.6380894194299
29,333.00256428250214,503.21253679067013
30,43.578173695514124,554.5935560730868
31,57.627820268902724,547.540671639581
31,350.61982448689014,530.4903762698814
31,426.57172729364174,506.9182095467113
31,432.12847829862585,549.6510538687289
31,585.2317762205603,545.0193828910415
32,86.27753898653827,512.9786055877048
32,256.5225394939298,503.99626688158605
34,266.50125232735445,567.5352084326732
34,577.3680615992671,504.5543092674052
35,325.0960213098115,609.490282015031
35,355.6119454150139,543.0031242030964
35,512.3231089401961,587.2344701238035
36,114.39115325825333,504.591784439981
36,435.4565906643911,541.3517659108038
37,491.51559730321605,552.3398920668114
38,330.79597271538296,585.4684036239632
38,518.7845730001973,687.0205114864802
38,557.565418958693,522.7329532790463
39,475.67839147717314,569.8899102499126
0,44.5461403111791,504.21342945038816
0,496.1927437993405,534.0368600146803
0,535.1728072952478,524.0877771742589
2,274.4939607742615,504.9406432451633
2,423.27497172341873,662.1513881548253
2,598.9898888759544,511.64582265960235
3,210.9707433257854,566.0604478885034
3,247.58308672365592,512.3641056279666
3,538.2290066955616,519.0094843305815
3,555.2202620103631,551.319361235528
4,381.0018290279231,547.2094249626025
6,428.041219065557,530.6291421829883
6,594.5191152166344,562.9000123972219
7,231.4995945240007,517.6154478276658
7,335.4259145925316,522.992744901785
8,203.26577567355525,531.3649845074906
9,120.17544499398355,622.8608530864221
9,251.72749722104345,503.1242440636561
10,80.52664288522283,637.1741687607937
11,12.93462298981467,543.8816820033026
11,330.9787074082833,821.264515522671
11,461.26358250427165,564.9185393986045
13,401.01759951315216,515.3284193329455
13,459.7537958095327,621.1083562720887
13,540.1605742044067,519.3604872783908
14,316.59784281856264,587.136704743898
14,332.8469698037952,512.3422836131795
14,450.70056138912514,570.9417528742051
15,227.20506262401614,542.5392030429066
15,377.6778629055443,509.4627187518199
16,490.3762803303907,520.6833438351168
16,583.2666950747443,589.0045931755594
17,251.24484498346283,561.3152231562708
17,339.0049179019079,522.1875470579107
17,488.41673341398746,527.7401256698795
17,525.2246553305795,503.54722871634294
17,561.6905492174992,574.0813592547056
19,96.90147700173111,509.3785393564758
19,159.738346468308,524.2760469573113
19,450.886590975937,520.981404610211
20,571.8873318596616,589.0632573846233
21,333.3975442919291,506.90515604946995
22,283.8301371468624,500.53812849364476
22,310.50018676160107,507.478460585844
23,234.56310373781525,571.7698381267837
23,407.72247584043544,531.6178581651911
23,436.8688934894071,540.4933750669443
23,448.8858144113656,529.7798306273762
24,246.4296670999247,590.1169410371949
24,325.8625329970346,501.3576372493844
24,375.5790820708644,502.88223204370297
26,498.4430484841723,615.9289430943318
27,262.75938238247545,534.3539073837746
28,295.9881620478991,525.5337975722796
30,2.861133138740115,516.0713034201763
33,468.453676739864,504.6740906436753
34,309.0034178329952,558.7097815041489
34,346.4673885385382,526.6444394546852
34,593.1510051534788,580.5334206488624
35,350.3926719683477,509.57192278656294
35,501.2643415558341,500.2599740764708
38,439.43474556739966,609.79559666157
0,282.89316984001783,630.7092571342992
0,432.8962733609133,518.7529489285794
0,565.8122110294203,512.3021549475197
2,475.34986052347404,520.7530854140714
4,250.0226745789264,611.7232015440095
5,181.59573489710465,531.8596195606915
5,242.96732921907278,518.1923706450107
5,535.872838208722,628.055459631014
6,232.38300519688482,633.9803789123835
6,453.4492478866491,513.5410817738375
7,70.40851059326087,581.8297570349387
7,388.26428687951284,714.7804488758993
7,493.0515920647631,613.7504975768024
8,138.57673355473162,526.2134623399106
8,450.4669669579571,702.6187860474238
8,484.0924575653962,526.0303242494047
8,564.3062655311833,556.208554917248
9,438.0414638251086,501.42177619181894
9,461.69950516682275,510.8997730749252
9,596.8966851595924,514.5851178585872
10,382.0609236471955,501.7099387559938
11,400.26747442259693,747.0725252142074
11,436.5917558971596,531.2983315880047
12,447.0887553419343,516.7322065299231
13,222.20664356277666,575.1260661600099
13,448.9382385064764,524.461004006298
13,467.7865561780145,606.2191964392696
15,497.2217929339149,540.6890094709524
16,121.44870773149523,514.6972015681968
18,560.9431316241898,508.81065905741707
19,356.65615890166737,555.3058713212522
19,403.45559912347926,562.727162578085
22,35.934916708238234,542.8816785824893
22,495.9350613706956,549.0764493715687
22,509.7190378451942,536.6717643537413
23,287.23340327050573,568.8299536359409
24,330.9226404359415,562.0744461102731
26,110.22049920710924,630.139537184732
26,299.87939350655506,621.8434977781726
26,499.43699919410574,560.0595122923551
27,47.54639523490914,520.5202954712149
27,306.8754029240263,519.6973270685703
27,445.8454673016895,721.7909844475798
28,432.50989215567097,512.7743733610259
28,451.6213294096233,548.4312868538836
28,502.09226917635897,559.9709195957985
29,233.23304911572995,676.6440419851278
30,135.08917123207357,584.4432515223161
30,243.57283713216384,534.344387557212
30,368.66580033364517,621.5315623121569
31,146.02310630876673,503.25690108002163
31,535.575419260902,508.623875783087
31,568.0048648105512,522.7667943981942
32,596.080157563345,534.7938068880467
33,328.28558641349446,592.78058783093
35,444.54266049234866,562.544640069973
37,130.0517836625404,581.7704628389038
37,161.7680536502703,534.0295514870377
39,49.053372909143945,509.3424781662179
39,161.00153830112322,505.754339901614
39,200.19185935618952,556.4099436960532
39,504.0388761096656,612.0844715915155
39,549.1946597021488,552.7606020405074
39,565.8927320934963,504.2455263537704
0,581.6731923910457,528.5751574617734
0,599.6945128900145,612.1497188661351
1,264.4027804338481,545.4482354693937
2,9.877860398033363,518.6997937962587
2,376.3358708498233,504.0499027441001
2,461.02049179122014,594.0012033111088
2,494.435736469311,595.562746200585
3,207.63312872729352,503.07452926017504
3,286.67373634244245,570.6029977732214
3,547.0032095007361,724.6817836994524
4,455.8263210126788,526.3798789346765
5,362.6238262237139,533.7047242956032
7,246.69926877572652,508.8629643059903
7,378.6570832099351,635.5718238100962
8,510.3858143349271,510.4202574448209
9,492.2666007024136,524.571932888648
10,283.57524332343655,536.1477415453919
11,59.344890859873885,504.76327569413115
13,73.8680244874613,548.1257970659499
13,498.6781150392035,511.90320142995915
14,229.55621716072892,502.1191233154241
14,285.5487866151925,515.377554398583
14,398.0799865748031,570.5164132796199
15,169.73116547306745,525.9631935532525
15,177.65772463286885,527.2827300050267
15,483.54041455840525,536.4358686347259
15,495.81026579740137,530.7640255487058
15,547.2597756227806,510.45684855853324
16,110.8202693780895,504.665547685363
17,198.81919620798726,544.2932545574877
17,563.3323434342401,588.9161550312565
17,599.9172496820538,519.8562096611568
18,582.0308177077204,582.9819277169008
19,370.51402708519345,533.7753589174099
20,298.1229985755617,591.6126294978312
22,128.86941184876196,598.1574254419684
22,336.3635233522182,595.6631205172016
23,262.6202388900656,552.8833875250712
23,494.62599901674,510.90380130699486
23,566.3175317518708,556.3958451766666
24,363.3745526616385,538.6647543600702
25,241.8459984220899,511.92943999922136
26,252.95554834425639,525.0659136909235
26,524.3258866362521,812.0287772071606
27,424.11183410707235,566.783778143872
27,463.1254998930017,704.3387698977313
28,519.822369155434,568.3603515208233
30,153.96332210985202,573.1876213067153
30,319.32204496346094,587.2936384039349
31,168.57823473931785,514.136269728624
31,408.4513491306825,681.3224648212781
31,566.0034199506263,555.0017002897221
32,277.3453817776972,519.051998591749
33,444.05011029004163,551.4462809405813
33,567.5665635393816,517.4625972831564
33,575.0528323942963,534.1361790815427
35,592.5001876346614,696.4868992545235
36,117.65436646684975,667.9726735310396
36,348.9190134667406,525.2454207475239
39,503.9123419075804,563.6797216247942
0,471.3382109840533,559.750975537213
1,444.95681468055636,727.581374163492
2,482.7839657834131,521.3483411034758
2,574.3119673165602,630.1535611348754
3,497.97962299664914,574.3684943986409
4,133.19197315699193,546.7589767085883
5,91.39829652072012,525.0757712478844
5,484.9607473102028,560.8431565269711
6,180.88688180486042,537.7227478074929
6,461.4869864529992,528.5431476359008
7,123.46761886934473,588.5623797685184
7,284.42378639371145,792.9628187648632
8,127.31211510727826,541.2061238457682
8,292.91301194327025,618.3195208177494
8,307.3713071685552,613.0110284666443
8,364.46533703415844,609.5638058604891
8,564.3184036417151,565.390296636906
9,301.28076207225695,507.1090359970185
9,508.4614123167303,567.7064807769057
10,551.8442211740676,538.3700101347131
11,137.77836748172285,584.178870300093
11,406.44040845845575,500.0557701650905
11,507.38294680723357,531.6045921381374
14,214.02138900296268,537.8490683360724
16,395.8802070344209,526.6741124523833
17,546.4657492816532,536.0078769626853
18,248.80361049042767,507.2203988547699
18,322.59020249414243,528.9002685203741
19,495.72720403247695,630.1750346465269
20,450.74016100279005,512.7004843434406
24,509.1710392350251,562.9235820415488
26,512.2919312333215,622.3548533125722
27,177.20021875430393,524.2489475167531
27,317.664738688487,502.88051354073104
27,344.82097520419484,585.6935890078603
28,490.45105432064156,514.6079918959003
29,257.2013171527251,512.247445887624
29,501.70038110753376,570.2397068853315
29,587.9183094093241,552.4264432460768
32,421.22834383375084,506.364627606672
32,443.136765116662,507.6387703884393
33,215.47750648199144,571.0842242915533
33,239.308782401582,517.1462397047435
33,375.6723150890284,576.9263887195848
35,270.2663207292353,528.3532676039613
35,420.29458747225726,500.10410863978905
36,573.5265647996748,516.6370120714419
37,224.1146911378055,546.898188196792
1,433.65477802531325,501.3256402380648
1,578.1474163333147,553.44392887514
2,246.3632773097786,512.319270784019
2,482.0655944685316,567.324150294553
3,23.68924937725933,512.6497870651292
3,154.2518994916079,507.9456411681349
3,192.0682228897938,528.9486782071435
6,348.8389218866241,502.102884098349
7,298.12773533309155,528.1782894580829
7,590.0122361838539,629.3487755010574
8,9.175034253703416,511.9309874589817
8,207.65887250144624,536.229955871022
9,220.46341182012293,527.4125111782269
9,497.66592467241935,510.6757155954256
10,338.4221054416703,517.4900175625226
10,460.64767206520355,574.4880800284591
10,596.8369500125236,504.7988155083658
11,352.5755491377249,502.137347113603
13,15.63459687372233,526.4775657469727
14,294.51083187429504,540.6679608913691
15,217.81781517983654,522.1921624142851
15,417.58007780160733,641.9053313202312
16,129.70505917214723,513.7737289878714
16,168.5799673486763,610.6794894003542
18,434.0171301031951,507.8341058524529
18,462.4238597019448,500.3007346767845
19,365.6493503772508,509.9190722339699
19,514.7918992850082,559.8993595722277
19,545.7387237969342,644.9155880072794
22,440.78481941562495,1022.869787619129
23,235.03966834733183,557.8772910339467
23,328.34187034457864,565.4296744669409
23,355.6700547425862,537.2012881798582
23,509.22795374819907,533.6283929464116
23,530.0798715645105,675.4905671841698
25,135.99502919838778,510.2373781373899
25,225.06773811308085,518.5436538995418
26,305.00661810347447,519.3489179291646
27,439.59838120033965,543.4127400258149
27,599.8370938857915,536.930184582161
28,506.24377542954244,598.2703248046164
29,219.36703423758445,560.0541635285481
30,249.082609531848,553.1669520387368
31,351.1463451536947,504.3408698802523
31,585.2767931028757,562.4671544683224
34,417.719622474011,513.3929568182793
34,572.4809132505725,531.5361990615202
35,414.20765476289307,566.9682573679893
37,504.82969731237245,530.151262482832
38,20.077106920016377,536.2376696211868
39,479.6710305803026,508.80644500648486
0,87.16231639557662,513.007289285639
0,500.7859593877947,590.8024629995339
0,562.6015318623848,503.6356369270152
1,202.19771397732063,611.6714165668782
1,341.26870862614646,525.8015526686677
1,529.4149623231922,516.3489506394399
2,211.14378599166616,645.815487806658
2,219.17301630004204,611.4968884216978
2,496.88908951662506,563.2007066194546
3,193.02266962952626,523.3635587173922
3,376.25214279949114,641.2003901018579
6,186.73471499682273,503.85259289487294
6,275.8805958402254,713.3764760019403
6,466.9371401639828,505.08108824124065
6,484.6109930377488,506.20742616865755
6,558.5031356966429,505.1343942895983
7,75.31659887970545,519.5522577341762
7,279.4142418037645,668.1555009845397
8,149.88358926410638,505.5847847206678
8,480.7913183491546,520.1376232034818
9,569.3171714910222,507.25839052029187
11,339.6619730022503,532.6945306642301
13,176.63986521715015,523.4928730169486
13,362.280485948826,601.4400224812562
13,532.0527417634421,610.3279149083392
14,319.97866954829624,504.24590875263675
15,156.69026066778497,504.3098089263367
