session#,TimeInSession,RT
0,434.61983150209073,593.8222541628875
2,352.3528302198715,502.30091430853463
4,26.624495151814244,520.6631946002744
4,340.48897931931106,522.7160791505412
5,273.8433443050476,518.6082964582965
6,501.6908628053052,544.5933713926934
7,148.09179531037717,512.6748633192619
7,581.4002497972542,642.81835057227
8,148.93773478084768,590.2004371382645
8,310.58000781731425,537.1159388023443
8,353.4364853542029,582.3394907993134
8,467.27951354989546,584.2461733891469
8,486.8044746792866,534.9224293904626
8,528.8574980220128,541.1612521829738
9,401.2321705059476,555.0225773722559
9,569.8765760925307,531.3030595825694
10,153.9192411097556,502.30984432164405
11,142.7639142209582,516.898774269066
12,402.9470476969109,525.3399908797292
16,264.11987129761474,555.6775031891448
18,571.5144217715406,520.2854446615675
18,598.0413352569885,558.0261698414688
19,589.009736646507,560.3239652737102
21,477.4856977873642,595.436079747742
22,291.95928025842477,500.0416213279095
23,427.62451740962024,510.41302034718683
23,492.9313920915047,588.2439255638019
24,311.8817792861428,570.5493390269112
25,472.49979515047744,516.8596611147223
27,370.25650185035556,505.5639639504079
27,404.0531730269322,542.9737672966439
28,205.7997834876369,515.4923996669822
30,196.6768747074093,501.9479095826682
30,292.56694874460663,522.4655952952162
33,593.9826280564666,501.72777125408174
35,265.4645896289512,529.0387851673586
35,505.93867916452655,511.62500936334254
35,580.0404573229498,598.5344893269939
37,381.977544788253,542.6831679942552
38,129.90683668201018,534.9189785192721
38,465.62068278429433,500.72967454980244
39,355.030780535355,642.3881765404076
39,558.3895053172346,635.4845784480858
0,196.00868199330725,514.2400502963085
0,362.135650211959,516.1328439307908
1,325.6628895959974,508.4911829762859
2,377.41537146758196,560.6906414811874
2,390.53106654043154,514.3929575815491
4,313.4379946828449,538.6064650429034
5,172.71574114417672,500.90183102520314
5,181.42830571054628,567.7426851625569
5,227.35110384002746,508.46313919691966
5,386.7050864333896,500.7340249958361
5,579.067040121884,501.8516631971579
6,188.34886441340404,543.244306239103
8,399.1104176896779,508.5120501680649
9,402.25044487784635,508.3397548951325
13,447.5521499603874,504.16202828455425
13,561.0621010484138,624.0135067218944
16,178.57778307345325,504.6572994942835
16,404.3745349290366,517.3480900866707
17,220.545853031379,538.6242586464505
18,124.47255135969499,527.6635186019121
20,443.6889821289442,523.8079694991029
21,344.80833098695075,503.4176366607426
21,473.4984469029587,558.469499257626
22,261.42829897539195,554.1327393511892
25,267.40780633052054,558.2703605432471
25,532.4570218311019,506.23324329717434
26,289.06486131136626,514.1362850845326
26,464.0373270049422,539.7535240954312
28,447.66798215745075,637.3275269615988
28,516.8764505499203,558.319887964899
29,313.5599703546868,610.0486405266565
30,346.3162701779838,552.2351540021191
30,456.08406065520467,570.1668156361848
32,382.2934093364893,515.0408694134967
33,180.1510919603097,520.8740061862045
33,406.9855911581799,531.1403505584167
34,178.62258850302533,556.6385569291015
34,195.91409628854308,532.7276272619201
35,420.56562136591674,519.0387101902161
35,434.6511403807781,515.8398419953301
37,303.5064641788849,512.3051000955456
39,382.72768189448834,500.5694141727872
39,524.0953337356441,732.5218322803266
39,589.8508900727866,548.3009549752751
0,545.7554431887991,532.3438207578874
1,153.56303491551193,518.0066246057322
1,300.7131966143046,536.808018763395
2,336.90255568927137,714.1668327292336
3,233.57689255120977,541.7393887528306
3,257.15095575876194,505.82584294261324
5,169.16054561030205,506.2147484768502
6,520.3504257054788,612.0294664078756
7,431.79166113624797,500.59328341831133
10,358.4641526724781,540.7467027744133
13,255.16079996326152,597.4014174371405
13,263.0121933549726,548.8605041227856
13,574.5161724950958,557.4387249507708
14,215.00695272048142,521.5312747059215
15,103.11678715859853,526.3417828628008
15,501.8753902257977,503.24422026460525
15,514.9158449552924,624.063417679281
16,311.6504556441487,567.716778607064
17,90.20292608566524,550.0980207234534
18,136.8316754994412,504.36871617603174
18,245.92470628843512,524.2519631319738
18,528.6476049551093,524.5599356621824
20,523.0545637454106,505.56374327425146
22,286.93964253585,531.8855930199788
22,553.8436825322133,526.5809239299415
23,236.83603882615353,557.6464422556455
24,253.44198591543682,533.6846954342036
25,421.06290825200267,591.1755160814209
26,448.3416684860822,533.4018618996197
28,314.1880975570966,538.3116060293105
29,152.49497915277243,519.4711617805297
29,162.4261122688149,525.3043221928237
29,379.29987445143706,529.3248217640212
30,457.35559660127547,534.0752824376978
31,439.1581821144682,501.25798937733634
31,560.0706203672707,513.8735973887378
32,76.77114364628505,505.2554755275196
33,357.59984451801574,516.7349930525234
33,505.82763716977206,517.0395470231597
33,529.7840400035238,517.4339966433763
34,434.19427135982187,568.976539576397
38,286.87518621593335,551.8784634405165
38,395.59161682689955,567.192605274613
0,311.4529342007217,500.0134598246291
0,348.1521647883901,513.7663731588304
0,475.6685924221518,609.0230581286846
0,478.64576440644663,509.72462020382636
1,339.4468327538076,622.0152452262937
1,531.4770314619351,573.8948470780088
2,386.91063387920644,527.8572179756793
2,530.4432670118067,564.5140603160144
3,249.5170555262623,579.3809775213958
3,359.26613248532544,511.98381396307013
4,224.5543689856454,553.5827135386171
5,268.9006469180317,515.1206254836325
5,466.75074506208193,513.2392083287414
5,548.3591961263214,640.0723282222316
6,569.6272894478066,510.48857506521017
8,169.20993190931404,544.6686841614792
8,386.84870054984367,505.99062450692145
8,596.52186399936,526.1424243490183
9,303.88401557754423,529.2487819151575
9,400.15544939983465,556.3199432453985
9,563.6587198284751,504.3771961127277
9,599.6116798965695,625.8341174316229
10,297.58655485284,624.2282774464911
14,420.03010905392875,521.3262194993149
15,120.87835439340779,657.5790387141751
16,74.31619185643285,526.6345835098036
17,596.8653256190937,568.1754401703074
18,369.6690585302731,501.7464036754973
19,519.7572668890243,579.5108612910553
21,109.20923770096852,566.7880243654508
22,323.8163251178503,564.1208852011914
22,455.0314694937788,534.5738517407881
22,597.2896909753981,563.503672963634
24,587.817372836158,502.3721289871901
28,566.6380148705503,537.9251934973581
29,220.21737800944175,501.7902926301758
31,23.445091540135763,548.0360008441494
31,323.9326226094381,526.6089152028144
31,431.37568989437204,566.9500903532025
32,68.03987810948456,509.63046857577865
32,464.21756421496684,540.3802059627196
33,273.4818219100707,502.3881528068159
34,256.2054709806325,517.616632503632
34,375.22767330098213,506.40706879494246
34,554.8132567925022,542.9207927081734
36,479.5281541936274,501.86537942499854
38,137.63900412373914,511.10328733557253
38,587.3870797186755,504.69851595698856
38,594.2955052949983,533.0124807187531
39,210.18103615949076,552.1457746144733
0,425.7115807206152,518.0278601452528
0,595.3470411324705,564.6964048862628
1,421.25679512105876,530.4575389482125
1,452.28395277687196,565.3191488968332
2,237.02307984479467,545.0224897967928
2,585.5449204597032,507.45040848346434
3,404.472316126112,513.1939575976503
4,193.86993159859549,546.1630667105055
4,341.79547586181025,503.7794699896949
4,582.027484282602,541.1568060972058
5,498.53101272562253,513.8472401818035
5,518.6430440602167,502.75569998620995
6,389.36500805721244,585.0535695744838
6,586.2679431215438,531.1860333995355
7,212.0668420242082,554.9947384279221
7,338.16400156985037,611.9217405948802
7,469.03368183918246,727.1664879290256
7,593.0768154307698,542.9482256495248
8,140.88765434328434,510.820200703165
8,447.774241525628,507.34734001343895
9,150.10575269329092,668.198396660955
11,498.33561761234705,541.1337240511784
11,539.6148893983327,705.4183663740332
11,586.6154392803583,522.1421909245691
14,382.1803970934434,565.6444359410671
15,285.4795519894742,614.5610827770724
15,540.1704621965691,558.2691404379148
15,583.7439804985388,517.8716923892352
16,216.51114225353376,500.5918500464759
16,275.1945084725485,550.8157720505551
18,412.31860377482917,542.6790319270367
19,72.13592843235347,552.1748783285148
20,383.4777972624197,541.7620150838047
21,448.1091529337027,594.4678402702266
22,234.3475225992097,600.3629021743109
24,309.99589221864335,502.83825673795945
25,480.0019262965434,533.5815951439145
26,508.81578663187975,505.35425382622634
26,539.6560887279302,671.497348434059
27,368.17413017247964,591.0154217126546
27,539.7387516884264,516.6568026688765
27,565.0162318865805,558.8220306708536
28,446.9379575734274,577.3396687400236
31,283.7522400234993,523.6543128958147
31,446.32030746999226,504.8006287579483
32,245.0323292582725,558.4037436710787
32,306.9030882006191,695.6874220595637
32,551.7294798911425,573.3765726035926
33,428.79120123617395,511.4300726199872
36,256.22159200139504,562.1540997381089
36,426.42582509572094,581.9362838701636
36,497.47134339301556,532.695656078431
37,316.29707095115737,513.9873867265123
37,344.7352960358621,532.6732642279239
39,386.1306041920834,560.1284852782555
39,425.83619820869717,515.8078817730711
39,481.93527642529443,512.9152044646617
0,205.96877371137157,546.728101367421
0,570.6461599405529,572.8355423085532
1,299.1171530599745,512.7342747466628
1,347.8517508964119,522.3315322194821
2,288.1744567348512,511.03320489710313
3,157.67915719756047,513.420784966911
3,227.8895967640833,505.0449824411771
3,238.76072057848387,558.9572279341155
3,514.7489624719428,593.0902085719936
3,591.1396028416593,528.5182701786653
4,432.1981714121098,505.27604996250375
4,580.7684843226857,609.1826875208426
5,354.43175638724733,580.0657381187193
6,473.97073224777205,532.3825183259032
7,23.18453153392238,653.6650189982538
7,511.06323831544705,572.0122063266899
7,593.6821321817024,505.62095101486193
8,91.06971175347098,643.3633755641495
8,390.77269425999384,679.6359900263269
9,216.92721220134445,625.0612678049947
9,228.25334338776338,593.2341828174685
9,586.6724232436081,536.1323635670487
10,302.3094743455913,579.683922552249
11,361.3729604006239,505.9877142539335
11,588.3305487814769,516.3905308745598
12,554.9946384266987,604.0340531144466
13,58.49227807335046,543.0539539174788
13,481.931461291746,526.6957125186309
14,94.42658401724293,537.6129462383687
15,540.9105200747072,601.7898939135193
16,295.20736704830415,505.00559737702133
17,334.193124871681,511.6490904074453
19,77.77475203693939,543.3009771550132
20,21.28998312229305,500.06482901335403
21,227.3230506569853,590.4585766929813
21,406.5257650422209,508.1169353379664
21,467.50217890211206,550.7389242120553
22,180.3832523078254,560.6575396213884
22,317.23677172296084,651.9025784509722
22,445.4641150671632,633.3356494305917
23,188.19160120347624,510.4587741243449
24,474.95200736168954,507.8025387992966
25,245.9885626041214,570.0421699912113
28,250.73105263296384,510.67129806324374
28,304.1454499188221,645.5613649559382
28,416.39343430994995,515.8047840450308
29,169.20714345853412,523.611773201992
29,398.026881122998,537.8904277968104
30,480.8109954562533,716.018788254587
31,335.01064802615656,628.3120931366284
31,368.66600315951655,689.0340393510996
31,550.7732517687182,527.8660957847023
32,255.05312234905432,510.4044377221726
34,568.6535852562229,506.6905093153764
36,405.54707322997274,554.3504369197763
37,531.3025566267424,519.767509867961
0,455.29103177282667,506.4273385176534
1,457.0681755287237,572.7962768930865
2,371.51009871662814,563.0624963450828
6,517.0597998052572,526.5479631862036
11,264.99046415305384,551.2757057967974
11,408.9047219682343,557.9860346451824
12,102.17373175831653,530.1295151684826
12,306.52862692691633,564.9891622360883
13,202.03562860077727,566.4371486163873
13,215.43898529860053,530.3934956609737
13,433.30223557232966,707.2271324705071
13,582.0726945585102,525.7170337190473
14,554.7221216001672,506.61281935208535
15,114.25098570582486,538.3170178192813
15,304.124296324484,516.1313234057161
15,375.3951765745187,526.4308488403913
15,535.4820690610923,528.4728155747871
19,324.17712468631,513.2557443812402
20,314.46593402986036,511.3015893166448
22,267.3243940955981,509.6007166066556
23,186.56307426378044,600.1432863977243
23,556.0707081844284,555.4284828467644
24,590.8180895969654,523.2751004041347
25,195.27975328407774,522.8297179928632
25,227.06202035761453,512.3918365898135
26,436.7643326647085,507.71114338203915
28,158.35433461422872,503.13281718990766
28,296.9591625733701,569.7317567537539
29,504.3181294668648,530.1222174712166
29,563.3815875212676,579.6286699696793
30,279.2667281242029,573.6788126705505
33,356.2883867921919,588.3665016190207
34,534.2526785069385,508.85287493656506
38,462.46577405176504,500.22403349066735
38,534.5054427031246,519.894424440281
39,153.6819754888129,530.095753238129
39,410.73378714363935,520.2920731680933
0,404.0447210430678,553.2820901913738
0,467.95732078634427,710.8969733174035
1,296.2485870097481,530.3700074730386
1,468.11673214714244,575.8439818159786
2,175.854326445816,629.3948639654445
2,472.2898249917546,509.30524300974866
2,548.3204355280177,510.40438330028337
3,106.73518444287333,503.56066466247285
3,415.4455702656089,521.5640697647359
3,477.7417565906678,551.7547945032675
4,472.610331325508,505.2824876706836
5,491.25212590480305,606.2473760002831
5,600.2644464268733,502.1496283311535
6,239.38013367270014,560.9763309939808
6,571.4271917784199,529.3575664809396
7,176.56464534377938,512.7932747727755
7,501.21031032220435,616.1740246152476
8,592.2119302962392,532.0633346746035
9,128.04410821005058,521.714246538977
11,361.9896244278016,620.0240803382258
11,467.76596146597603,502.3123081045924
12,152.91783662513262,593.2693968716194
12,462.2361936609841,514.9019412438065
13,375.02788408852575,521.980517431075
13,423.82265650320005,553.9891383104987
13,482.2736564418756,504.0409999437543
15,284.5486093725849,552.3541019301774
15,585.1270375129479,828.1811477518204
16,338.05058688460304,540.3293807830778
17,10.69992414708031,523.4810938509327
17,194.70099818556082,590.77652009546
18,280.6998440769712,581.8914401825168
18,483.45443340927704,507.2871155189205
18,562.1378573228776,512.9861030563916
19,53.47146141011763,584.0984626393038
19,167.54845519761147,547.0183624474885
19,411.1346797715414,530.5247586948099
21,496.33220435588373,536.5683359304967
22,325.9579600233774,549.4928108510067
22,517.2123875865036,513.4417828448932
23,479.7218028284515,512.1850264531531
23,517.9206275262404,546.9006556031673
25,221.477061270165,535.8843581234396
26,437.81444735646073,543.17699683088
27,372.5949497669535,542.1099835366476
29,68.08561400248072,539.8681097794906
29,273.0394501347364,561.7475027138426
32,61.21236865944593,606.0811471506895
32,303.800538338739,508.8814816554077
32,575.9592374067579,511.15703652249067
33,465.1590890383559,515.3612051544769
34,450.1663000191402,586.5560583879414
34,527.9873110046428,529.5825912508008
34,573.5180869593132,578.1424673004949
35,535.4672507712021,529.6531941567082
36,239.42711688546842,602.5535856751958
36,265.40942541260665,516.2776671022584
38,497.93667735471536,510.314079157979
39,200.73410998817053,500.970588553173
39,552.2336243681893,572.4251579413249
1,246.45154392230847,605.7269332690112
2,357.51344702182723,523.4703867865846
2,512.3652910078629,515.6093673306259
2,571.3632409141851,576.934953994396
3,85.95704953152017,550.8187841633116
3,219.4447253430103,565.8624285861151
3,360.09312321599964,720.3204379356976
4,186.75051846659517,528.7279693657183
4,432.6659239796286,571.0707898101646
4,554.8622280972436,617.5502223868534
4,575.7851980393084,589.7353373106853
4,584.143539128369,593.8141052906758
6,518.0549402108663,618.6592327176186
6,592.9280050615653,511.0713147851129
7,258.04740899555964,556.3209700485459
7,485.83336056037206,607.4441024402404
8,81.07460982788962,503.7474803893929
9,499.35458984008073,586.8397677868415
12,452.82551202031937,581.890349929381
14,251.07291569619701,534.4825270985893
14,359.5342003813039,611.5563859984832
14,566.1961610575418,591.7927114933264
14,593.628604428277,562.4139686860872
15,241.6298964052221,520.9838366426993
15,353.04982352014486,582.2724369390926
15,375.9481902941425,506.33323367583216
19,575.1930660166854,522.3882061600307
20,403.6469439610937,515.6748533936479
21,373.33183639444906,534.2523717336007
21,560.0323020031265,591.140050037211
21,598.9651001088223,514.9528422280127
22,448.511822877781,538.4219363204465
24,170.24143075756183,537.0046356947569
24,177.1356435099442,509.85053620752296
24,455.38710558540697,542.9349102414562
25,193.98153405547782,531.7194831841334
27,182.06128208149676,549.7918232613301
27,405.5586725140347,583.9397504460067
27,421.3476361635294,507.4258258609916
29,50.44638329542431,523.491983392887
29,148.46901914200134,791.5069825612591
29,400.9151996000255,644.1612121998332
29,431.70059765198675,525.6166103899886
29,464.49139138748797,541.8774902391306
30,304.05532594467513,537.9251542835846
33,22.006147724434413,538.3025167502637
33,464.11942363509297,503.3425215879106
36,461.0799507745942,502.74489418734447
39,298.4739528612081,549.7720340244996
0,370.909906887179,593.8045085885051
2,227.3277915754386,543.5424572856391
4,196.4033533165475,631.8952023402744
5,485.5987213747899,621.2360517715751
7,288.98515778885303,547.0089010741503
7,311.66388699942945,501.522936483525
8,516.992947461632,648.9429590801592
10,276.67383529620565,552.8127578618296
11,217.35163247283162,531.5335519280779
11,440.69687771115605,567.1135096790749
12,59.41346984896336,502.26037890752195
12,301.4816131229245,872.4493795125454
12,310.9697565726483,554.1802087955148
13,126.52044933834804,500.0468107264169
16,490.87606351258546,517.0088060276612
17,333.70953160824865,543.8036778723472
17,504.2745873678632,575.4949533184117
19,325.82205241365955,503.37833736375615
20,411.146263284978,516.2824311591976
22,261.4016784788746,504.3680733870133
23,585.5708459186862,531.4772401015944
24,287.9224715107757,520.3212778360466
25,130.98592725515846,538.5637899489666
25,157.02579689423146,510.7320283568697
25,480.5784725275007,601.2425634107785
26,319.7896522199735,504.93456644471735
26,425.1276440811889,625.7616031762154
27,290.48314958808623,537.0803675468778
27,361.11801906265464,670.6510929761862
27,551.7738156899904,585.6740922063182
28,207.60573903443583,539.4362904407899
28,269.8324151115012,526.8780499391141
28,532.1740080742311,565.4371538039413
32,330.06828154238974,564.6489899554581
34,350.2136864274107,538.7622075541003
36,336.991370323889,683.443218080356
37,158.20921929570977,591.0149529699993
38,304.4439005163076,636.1090187019727
38,518.8645169071679,534.5246019678598
39,134.44321588733146,602.663759553252
39,381.9908728253031,544.1368442880048
39,490.9007228256851,504.7885053754726
1,162.09207220515975,549.3746476104207
2,9.34469842128874,515.311384935103
2,520.6643071746623,501.06445396295385
3,387.5191077779716,655.0337440112344
5,431.0733457663446,518.9896392339506
6,579.3457283264197,505.867912179383
7,231.67037709835677,539.1538396715987
7,560.5370351194006,541.688162274113
8,243.62067081433815,551.2017311893942
9,30.943476290288345,537.064660692522
9,310.51381800367926,514.7582230720218
9,323.6674358175842,522.2121507922566
10,68.69442637087104,572.3228825354454
10,390.3736879522239,686.7841118692013
11,223.29833401038832,512.9361965209682
12,3.691468840719608,512.9852244672293
13,465.64306518836383,529.6175063886039
13,498.20850797948333,518.1242175203806
14,317.536009661615,547.259399871109
14,511.8038711207937,597.8837340062455
15,100.82047164611504,515.9027404588414
15,524.4092186065245,508.7258748790191
16,558.9251036268033,513.7101446271117
17,429.5129972607083,533.4119587059831
19,288.49567353305247,557.0476720695297
20,79.17113888497624,504.9195491774299
20,209.12680054304474,626.6390477285313
20,433.49671189771834,539.9290182303957
20,524.1983779837847,540.5841479296214
20,570.4448932988089,751.7725844954839
22,466.3293352942128,544.2022849456407
22,580.3308727812691,555.6932891413453
24,547.2881305647006,558.3572905343317
26,364.3919199805605,501.42331498864223
26,533.9308307545907,502.00474542361917
29,328.9966414594419,592.9383635339036
31,243.18796512122208,569.4415187172126
31,517.9179913822445,512.9227381075907
33,416.0481223582974,507.28305129814544
33,540.6813722166444,550.6706516171107
34,218.51502648109454,543.8355025580677
