session#,TimeInSession,RT
0,399.89318111336667,579.6171028961226
2,291.8361063863481,538.8850060617187
3,144.52759373486083,517.7311254592496
3,259.67115447082574,561.2360114628245
3,377.5496166049513,590.0442515703617
3,506.37285184756115,605.1576853842562
4,453.1319027528639,725.5259964517791
4,591.9753172404216,548.1100013307696
5,452.8765187696349,500.3151115001856
5,484.32827732864234,531.2620020754366
5,564.7780154526913,595.8189819270956
6,515.5996531355463,533.3089858195308
7,298.28120493675215,631.8352477474036
7,332.42173582223677,628.2001185172703
7,369.5005484357607,553.0679120156492
8,219.38769039588715,568.2551170248189
10,217.0595463829377,621.3180362583444
10,305.7589257396903,507.7826477408962
10,430.00051343823543,549.5218459245734
11,152.97845770264576,543.7485331640346
11,495.07974842287695,528.6504604591755
11,504.2451289663104,503.4435736861269
12,387.21446929289505,514.4558618321753
13,473.07859536253454,508.39362866827287
13,564.0442276075137,524.893699801396
14,262.45550885648663,518.0383133938449
14,270.4861463658999,510.2923329486657
14,431.46952241126564,550.8696968336153
14,593.8016899674076,512.4272189132171
15,267.27910289010833,506.97875352489064
15,343.12144260640343,520.3627899627463
15,346.8403156341283,525.5765965866885
15,425.92110649352253,507.988348705112
15,557.4925011222749,523.5878399271314
16,431.07714850688535,636.9601159385638
17,442.84691707422644,502.5050042440853
17,457.2697565122726,523.3474950982782
18,149.05544432992247,539.1808234344353
19,165.34629746727478,546.1600591643219
19,538.2812371591626,826.5284618992155
21,442.7948345950135,521.1071152443765
22,261.57190804589663,683.132965614277
23,78.59381283029506,668.3036216436449
23,373.47447423888116,520.1546294247237
23,494.4173908559533,509.7183174948441
23,594.6639877728267,665.8609490696108
25,283.7793306734384,512.2173887211829
25,449.3123933410134,597.6644910442701
25,549.0708150386599,557.1601824631216
26,75.38413644700631,563.5805206620716
27,36.18781621880407,571.0433824497159
27,135.90869369766733,569.6377603744622
27,486.89769752124266,518.1073768799251
27,491.49418790818163,535.4441307208617
27,588.7398282143113,529.7238921302778
28,422.61622435532263,584.2534242692636
31,383.635376612714,508.5568058566423
31,454.3043954908753,580.8302108816861
32,555.3635480291669,598.9435610936198
33,365.5153333507187,570.4600675708207
33,535.5413165398604,518.9615826384397
34,150.60039435097133,566.6003966980497
35,200.5334658646534,521.1023368756287
35,403.7122752801006,604.7702299001685
35,535.2540390807771,634.3477449918282
36,228.2627481441814,569.1500784741947
36,512.6809690793998,563.4897527743306
38,205.64666789580951,737.7761867683148
39,133.3003258605131,525.5586313505773
39,226.10595792631648,501.52989890557365
39,498.2532067437096,587.7493535881513
39,514.8430350460367,510.9539797376783
1,336.9315781322807,530.0041121034837
1,359.25818340454396,525.9323462653356
1,519.0275299432656,533.697028018878
2,534.1592091256562,775.4736182384931
3,319.97632917295186,581.6741045364324
5,362.5304529237678,528.8602405312304
5,372.87304930751907,512.6509067208644
6,259.88374176543766,512.052689677148
6,554.7607657177159,592.0041253793897
7,46.452618618004635,693.9345331938966
9,281.58199908603183,508.0923574505505
9,486.3264580114828,533.4762609336394
10,139.53834819829626,535.8686835506887
10,149.96379367311965,517.9047386827733
10,491.75921487519463,569.5909313644734
11,471.52152335005485,536.641208891524
11,506.1880653825392,508.2253203181608
11,565.7821591072698,833.5589662010534
12,408.2560897640851,500.8169518714567
13,290.64418518041384,540.421069608783
14,83.082345376175,517.1648826617457
14,189.56503190240983,506.77075648127357
14,322.2617354178892,514.7389709673007
14,371.8023565252224,552.166178373227
14,600.4119915061347,591.3752272826969
15,229.19873431909036,572.864005320298
15,366.3417034249178,536.0476265541365
15,426.99593225797616,556.986569039509
15,519.1988360270407,556.2579335146438
15,584.0373309997321,684.8254165233811
17,495.4995524458536,596.8680206806312
17,509.91255690905564,571.7550787721848
18,182.98879790327555,560.9015188474586
18,600.0507229158902,522.4473529033276
19,424.48320476922527,530.3362648901384
