session#,TimeInSession,RT
0,324.359927824426,523.9476318859602
0,438.43844893877844,516.7900395592824
1,359.0286666146376,635.4277550054803
1,422.48148933314667,520.4981182898791
1,589.7067973350908,519.8000696384497
2,295.4875411059145,542.2551844008012
2,577.9592804504612,627.6239387836995
3,303.1225174629685,546.1539700499998
3,319.2176243033996,511.7861423823342
3,519.9195440241729,597.6210699222975
4,344.8519851337551,655.2800070162448
7,117.43665678891193,527.9841047895388
7,433.4969198523904,665.6510110578893
7,539.6263916448943,528.73938439825
8,215.12712220817684,552.8039687314958
9,243.0928449203093,522.3547867171874
9,432.2392542319649,658.3551971825727
11,302.3209002413987,519.9917105364875
11,326.0488879863906,539.4118120675557
11,599.3822548372964,538.1891664819705
12,206.95778293946933,535.6888982378223
12,249.75629649768052,539.0316253960918
12,266.9866551670475,500.75013448622485
12,325.1089394106548,503.9096025593608
12,392.9240951368665,506.22650755758514
13,522.2994457783188,509.7901531262323
14,508.52857055421373,600.6501455976831
15,391.59217763490597,616.8378400761867
16,242.8561267063469,541.6647240108432
17,366.58415724824954,544.3642522532173
17,570.9505409043322,503.7399443608592
19,30.36661957184515,562.1505287126638
19,256.79891387281714,501.16636140410264
19,447.6901614999988,593.3816811757424
19,499.1038744745292,551.3211492962
20,25.157715376752094,506.50876956387947
20,411.7966132456222,555.647014072747
21,564.1838379120709,508.72770497335296
22,38.03971899268436,627.5158742282656
22,163.25899538927297,515.3014765473927
22,530.6665009668959,601.1347040312103
22,582.7267917307363,544.4100898421311
23,241.713547418507,756.0374059485184
23,339.91935747066236,530.1885788048821
23,387.1948319726762,527.3703433103947
23,536.9537346153702,652.3068414462614
23,545.3081844511889,540.9515786541306
23,557.7900664842673,560.5253454905323
24,240.75437814671022,544.7972133588337
25,228.73366111943324,504.2987974920834
25,555.1402034251805,675.8194429276045
26,317.2679282742938,517.6974492096633
27,514.3050460994309,533.9961608624435
28,438.5213772966963,606.6431591934816
29,289.50104061370075,563.4811533454922
30,190.44695812412465,508.6399274478026
30,396.4499883249082,542.5946498289704
30,465.67969920894393,524.2434405918175
30,537.6800179912643,525.5623387929518
30,578.2790127872904,520.7408607020625
31,256.9023446338542,523.6093714484014
33,287.438838159851,522.2768329149403
34,328.25558994289895,522.1141757065197
35,408.5172790614779,520.1954244803346
35,582.8372004665471,515.2163995626324
36,304.72483520397145,545.4531624272931
36,434.72203624894246,532.2483763084165
37,245.66099736506294,600.7126923286705
37,428.27480543454294,505.47352113426314
39,359.7128135661369,511.8497281509917
39,534.1851546198632,861.6165697385441
39,542.1919547848374,543.2615612480731
1,333.91243431236046,658.2547318603247
3,273.42054050040997,501.16316546700546
4,377.4997127518741,585.7891101145469
4,597.2203585228176,574.851233971458
6,342.77233499102203,553.2322934059266
6,346.2087345702512,524.9385287643236
6,463.63806136045787,504.1001716381288
7,69.78828323366633,504.97306031411426
7,232.02500412791505,553.0640461720395
7,476.13450642956104,640.3712629135043
8,373.9345024121112,506.1806665653421
10,572.418409005636,518.9658296694688
11,103.69095952479711,506.52794291454484
11,258.4396432533904,624.2024139646674
11,301.5066057875192,503.92956738596695
14,165.14956100201744,537.784345813634
14,536.5383674190198,531.5598782017332
15,181.94357643229523,523.648221645999
16,212.20028237583392,511.7144566738716
16,279.25907834037025,524.5077807485359
17,424.9662076355289,628.9426619678125
17,537.2390194607888,575.8024974002183
19,59.22531314081061,527.3428024756868
19,184.57353688427975,504.5839147442166
19,263.91163985825733,599.9576347676339
19,319.98413047405484,500.3435466624069
19,470.736097338131,554.6706099448784
19,572.5301595030232,534.891929684818
21,248.48840031904,568.0027465859894
21,499.50660778240854,626.8625979773788
22,329.9540322961493,537.102784801391
23,266.27142753469525,631.1161613612057
23,562.5190187956869,502.64941009118047
23,586.1320106489402,582.4889084706228
25,377.27656221238794,582.2270481512533
25,547.5084717247519,536.7466994503047
26,346.2417938891376,529.0809533325955
27,248.09545230231015,507.8365171284531
27,384.8903332576119,544.4094300473807
28,117.68814664750244,566.8878842443519
28,313.7570075842086,523.959277641552
29,67.30887383174559,555.9253584251564
30,155.6105748270893,501.34724080271553
31,336.04116334805803,518.3336979171145
31,436.74603659787317,551.3423743723251
32,94.14723878772566,510.02407035048236
32,350.44747629484846,501.18738722085254
32,566.3215174909747,509.73569201960345
33,568.4700720397159,584.5025478447496
34,364.05428598841536,570.0437268787937
34,560.2784371846974,534.4465219568519
37,563.0543080941789,597.7897863449471
38,376.0129320884553,501.6972149533103
38,444.2129444034945,518.651763912203
39,65.8880541844992,633.5112175511313
39,206.51953998986937,530.3815909319383
39,342.7107171347052,527.5118829376879
39,373.57094014421455,780.4847432125825
0,505.65256115742636,547.1001082539146
1,419.7605283362932,513.2978437613929
3,4.925458894487974,693.8220366421319
3,470.60245039438996,514.4422601224505
3,507.7508840034934,520.6020442078625
4,4.125127630442876,505.5360338687933
4,220.45238199726873,571.8494066304629
4,422.2116114347118,522.9028216754159
5,497.1988805608371,549.0381644822264
6,297.83863556903407,506.5254884757451
6,339.59903012904715,541.2644085090506
7,179.91399336369705,533.5491575242486
7,485.15081611359074,505.34423472618073
7,574.4586751236193,504.15670376696653
12,92.00527399046496,566.8463502661325
14,274.32864596602303,577.1609425464703
